Store,Location,Span,Rate,Time,Review,Application Name
The Lash Store HQ,Australia,4 months using the app,5,"March 4, 2024","Such a great app. Easy to install & set up. If you get stuck the customer service is amazing, it’s so cheap compared to other apps that do exactly the same thing. Thank you so being so amazing.",Google Customer Reviews 1
CreativeIngrid | Ingrid Sanchez,United Kingdom,6 days using the app,5,"May 21, 2024","I only installed this app a week ago, but I am very happy with it. I love that it is not a subscription app, making it a great value. I needed some help installing it, but the customer service is incredible. Chandra has been really helpful and fast the two times I needed assistance. I love that now I can show my Google reviews on my website. I highly recommend it!",Google Customer Reviews 1
Naivri,India,9 months using the app,5,"December 10, 2023","5 Stars - A Must-Have for Every Store Owner!
Installed the Google Review app on my Shopify store and it's fantastic! The app is user-friendly, and the support is top-notch. It's not only streamlined my review management but has significantly boosted my store's SEO ranking on Google. Highly recommend to all store owners – it's a game-changer!",Google Customer Reviews 1
LissWood,Czechia,8 months using the app,1,"March 24, 2024","It does NOT work even after repeated information by the developer. The app only loads reviews once, so if someone else writes a review, it will never appear on the site.
Info from the developer is that we have to play the site in anonymous mode :( This is honestly the height of amateurism",Google Customer Reviews 1
Schlaf Komfort,Germany,28 days using the app,5,"February 6, 2024","I am deeply impressed by the customer support. 
Had issues with integrating my reviews to my website and within a few hours I received a solution and perfect guidance. I think thats the best service on the market for simply adding reviews to your website. 
Ps.: since the first interaction the team is supporting me ongoing with my stupid questions",Google Customer Reviews 1
Magnapix,New Zealand,7 months using the app,5,"March 19, 2024",This ap is amazing value in comparison to other similar aps and allows me to show my google reviews on my webpage and therefore help with SEO.  Customer support is fast and very efficient,Google Customer Reviews 1
ProgressiveRC,United States,26 days using the app,5,"February 27, 2024","By far the most cost effective solution for Google Reviews Integration.
The app is exceptionally well designed- streamlined, complete, and effective.  The developer was very responsive to small customization requests.  Highly recommended.",Google Customer Reviews 1
Metashot.in,India,Unknown,5,"August 20, 2024",Does the job as advertised. Simple & Easy to set up. Looks great on our site. Superb value overall.,Google Customer Reviews 1
Threeface,Italy,12 days using the app,5,"January 29, 2024","Fantastic app! Works fine, suppport reply fast and in very helpful way. The costs una tantum is great, many other apps costs a lot compared to this. Really happy to have find you!",Google Customer Reviews 1
Tataborello,Italy,14 days using the app,5,"January 17, 2024","The best app all around to have your Google reviews with a one time payment. 
UI user friendly and super easy to set up with a great customer support!",Google Customer Reviews 1
Posters et photos de Loïc Delplanque,France,18 days using the app,5,"February 9, 2024","Very available and friendly person, he helped me with adjustments by always responding quickly and efficiently. The fact that there's no subscription fee is really a plus, I recommend him.",Google Customer Reviews 1
Music Made Pro,United States,20 days using the app,5,"January 31, 2024","No subscription, so very cost-effective! API started working after I got my address listed.",Google Customer Reviews 1
Ninnys Napkins,Canada,4 days using the app,5,"December 19, 2023","It was easy to setup and install, with lots of customization options for design, colour and function. When I had a question, support responded quickly.",Google Customer Reviews 1
www.evapad.com.au,Australia,About 24 hours using the app,5,"January 11, 2024","Seamless integration in Shopify. Highly cost effective. Peace of mind. Bucking the current trends of monthly subscriptions for SaaS, the single once-off charge for this app is a breath of fresh air. Support is outstanding. Our company highly recommends this app and the developer. Well done.",Google Customer Reviews 1
Adventureco,Australia,About 2 hours using the app,5,"March 4, 2024",Fantastic app with incredible support.  Such a great cost-effective app to get and display reviews on my site.  I had been looking for sometime and really happy I found this.,Google Customer Reviews 1
mon-chouchou.ch,Switzerland,About 21 hours using the app,5,"April 3, 2024",I'm thoroughly pleased with this app; its swift support resolved my queries efficiently. I highly value its cost-effectiveness and would recommend it to all merchants.,Google Customer Reviews 1
BAICHA,Switzerland,4 days using the app,5,"April 12, 2024",Amazing app and very quick and efficient support ! I recommend 100%,Google Customer Reviews 1
PiRO bbq,Netherlands,13 days using the app,5,"March 19, 2024","App werkt super eenvoudig en is door de eenmalige betaling lekker goedkoop. Geen abonnement dus geen oplopende kosten. Service van Chandra is prima, reageert binnen een halve dag. Beste app om je Google reviews op je site te tonen.",Google Customer Reviews 1
MyDesignglas Whiteboards,Netherlands,1 day using the app,5,"April 10, 2024",A fantastic app. The support offers great service and fluent response!,Google Customer Reviews 1
157Grad,Germany,22 days using the app,5,"January 18, 2024","Es gibt nichts zu meckern. 
Die App funktioniert einwandfrei und macht genau was es soll. 
Ein kleines Problem konnte durch den Support flott und freundlich behoben werden. 
Sehr erfreulich ist auch, das hier kein Abo abgeschlossen werden muss, sondern eine einmalige Gebühr fällig wird. 
Das schont die Budgets. 
Verdiente 5*****",Google Customer Reviews 1
Eurofertas,Portugal,About 2 months using the app,5,"February 2, 2024","Otimo app, atendimento perfeito e preço fixo ! o melhor...",Google Customer Reviews 1
Bootblack,Australia,Over 5 years using the app,5,"January 23, 2020","I have used this app for years and when I moved from BigCommerce to Shopify, I was thrilled that I could continue building up my Google Customer Reviews. The app is simple to install and the information needed to get it up and running can be easily obtained from your Google Merchant Account.  
As the customer needs to opt-in to receive the survey, it can take time to build up your reviews, but as this app offers a custom review badge, it will show your score even if you only have 1 review. The Google badge does not show your score unless you have a minimum of 100 reviews. 
I have also dealt with their customer service a few times and each time my question was dealt with and sorted within 24 hours. 
Overall, FANTASTIC app and well worth the one-off fee. I was once quoted $250 AUD by a Shopify Expert to integrate the code into my store.",Google Customer Reviews 1
Cord Bands,United States,About 5 years using the app,5,"Edited July 13, 2018","I was using a similar app but decided to try this one for 2 reasons: 1) better looking badge and 2) the badge shows on mobile phones whereas I could never get the badge to show on mobile with the previous app.  
I did have a problem when I first installed this and emailed support.  Next day I rec'd an email stating my issue was fixed and sure enough it was working perfectly.
So... 5 / 5 stars for nice product and for great service.  
Thank you!",Google Customer Reviews 1
NutriNoche,United States,Over 4 years using the app,5,"September 20, 2020","Excellent App. The support has been really good. Also, this is a great deal and gives your store more authority.",Google Customer Reviews 1
sole.lo℠,United Kingdom,Almost 4 years using the app,5,"February 22, 2021",Fantastic customer service. Fixed an issue for me straight away. Chandra was very helpful. Really pleased,Google Customer Reviews 1
European educational toys,Australia,Over 3 years using the app,5,"August 9, 2020",Good and quick support with some technical issues to have the app up and running. Waiting for the reviews now!,Google Customer Reviews 1
Evocative Cornwall,United Kingdom,Over 3 years using the app,5,"Edited January 3, 2020","Easy to use and providing the much needed customer review badge before you get to the magic 100.  Questions that I had about the app were quickly and comprehensively dealt with by very helpful customer service, indeed the person I dealt with went above and beyond - couldn't have asked for better service!",Google Customer Reviews 1
Now Accessories,United States,Over 2 years using the app,5,"Edited March 11, 2020","Love this app, I needed a little extra support checking that I set it up correctly and the support I received was wonderful.Absolutely would recommend this app.",Google Customer Reviews 1
Stone Doctor Australia,Australia,Over 2 years using the app,5,"July 5, 2021","Dealing with Chandra was good.. a true professional.. the app now works well for us.. we will not hesitate to recommend this feature for your business. Simon Gabriel
CEO @ Stone Doctor Australia.",Google Customer Reviews 1
GREAT DOG CO.,United States,Over 2 years using the app,5,"Edited April 22, 2023",The app creator is awesome. She is super customer service and is more than willing to help with any issues. The app works perfectly and I highly recommend it. Great value. Did I mention the great customer service? All app developers should provide this level of customer service and knowledge! Awesome.,Google Customer Reviews 1
JMJ Jewelry Collection,United States,Over 2 years using the app,5,"May 11, 2020",This app is everything I was looking for to help my customers leave reviews of my business.  I am not super computer savvy so the customer service assistance I received to have this app up and running was top notch.  I recommend this app for anyone who's looking for a great way to have customers review their business on Google.,Google Customer Reviews 1
Deelytes Collections,United States,About 2 years using the app,5,"February 12, 2020","Excellent customer service. I was not sure if I did it correctly and ask for assistance since I am not a high tech person. Chandra got back to me shortly, checked out my site and made sure everything was running correctly. We are now ready to go and very happy with the service they provided.",Google Customer Reviews 1
Style-by-Hat,Germany,Almost 2 years using the app,5,"May 12, 2021",Support is very helpful. App wokrs good. Will wait for good Reviews. thx very much. I Had some Problems but support could help me in few Minutes. Thats Service!,Google Customer Reviews 1
Joyce Jewellery,Australia,Almost 2 years using the app,5,"June 18, 2020",Fantastic service & excellent support! We had problems integrating but customer support came back immediately. We also had questions about other issues and they were very helpful to address and provide solution not related to their product.,Google Customer Reviews 1
Cozy Corner Quilts,Australia,Almost 2 years using the app,5,"Edited May 16, 2020","COZY CORNER QUILTS
Love this app, works really well. Easy to install and support was really helpful. Fast response too.",Google Customer Reviews 1
Dynnex Drones,United States,Almost 2 years using the app,5,"December 2, 2019","Support responded super fast to my question about how the reviews work.
If anyone else is wondering, customers opt-in after purchase and a review email is sent out later.
If that was clear somewhere else I missed it apparently.
As far as the app goes.. it is almost too easy to set up. I don't think anyone will have a problem with this.",Google Customer Reviews 1
Console skins world,Israel,Over 1 year using the app,5,"November 21, 2019","Very good app, the support is good as well, very helpful
very satisfied with this application, thank you",Google Customer Reviews 1
Brandz! Official,Italy,Over 1 year using the app,5,"May 14, 2021","Very useful app, quick and easy to install and fast support!
App absolutely recommended. However the review request message can't be personalized.",Google Customer Reviews 1
Rocket Immigration Petitions,United States,Over 1 year using the app,5,"April 28, 2020",The app works perfectly. I had some questions and tech support got right back with me and helped me incorporate what I needed. Would recommend.,Google Customer Reviews 1
Gallery4Collectors.com,United States,Over 1 year using the app,5,"May 19, 2021","I called customer support on the Google review bar and they had a solution for me asap! And it worked great! Thank you, Marilyn",Google Customer Reviews 1
Voordeelpakket Kopen,Netherlands,Over 1 year using the app,5,"Edited September 3, 2020",The Google Badge looks great on the website. The Service was great and helped me get everything just right. Great app and excellent customer service support.,Google Customer Reviews 1
AlchePharma,United States,Over 1 year using the app,5,"August 25, 2020","A simple, yet very effective app. In addition, the Meggnotec team is extremely professional and helpful. Chandra actually help run a test transaction through the site to make certain everything ran smoothly.  Thanks, Ralph Turchiano CEO AlchePharma",Google Customer Reviews 1
Mellow Signs,Portugal,Over 1 year using the app,5,"September 29, 2023",Excellent support!,Google Customer Reviews 1
My Bedroom Gym,Canada,About 1 year using the app,5,"April 20, 2021",App is great and the service is great. No problems and there is always someone to talk to for help. I recommend this for it's simplicity. Not a bulk adder but can definitely add value.,Google Customer Reviews 1
Fired Creations,United Kingdom,About 1 year using the app,5,"Edited February 10, 2022","I’m giving 5 stars to Chandra for helping me, setup was not as straight forward as I had hoped, but apparently working now. I would like to be able to change the message to something more personal.
I have since contacted Chandra for help and received excellent support.",Google Customer Reviews 1
The House Office,United Kingdom,About 1 year using the app,5,"Edited January 11, 2021","I've only just installed this app, but I have to say that the customer service is fantastic. I needed quite a bit of help to understand what I actually had to do, but I was able to send several emails to the same person (Chandra) throughout who guided me through with screen shot directions and made it really simple for me. Good customer service like that gives me every confidence in the app.",Google Customer Reviews 1
Juwles,United Kingdom,About 1 year using the app,5,"August 18, 2020",A glitch trying to link google merchant centre. Chandra was amazing + helped me through the process.,Google Customer Reviews 1
theGrabitStore,United States,About 1 year using the app,5,"February 8, 2022",Excellent customer support and assistance. Quality app that works well for small businesses! Thank you for the personal attention and dedication to getting ours up and running!,Google Customer Reviews 1
ChillingWine,United Kingdom,About 1 year using the app,5,"July 12, 2021","The support that I get from these guys is first class. It's a terrific app, cannot recommend highly enough.",Google Customer Reviews 1
Crystals Rock Australia,Australia,About 1 year using the app,5,"February 14, 2023","This is an awesome app and the support from the team is fantastic, we would definitely recommend this app.",Google Customer Reviews 1
Airwize,Netherlands,12 months using the app,5,"July 10, 2023",I am very happy with the app since it does what it promises to do. Minor issues were handled immediately in an expert and friendly way. I can highly recommend the app. For a one-off payment of 30$ the price-performance rate is excellent.,Google Customer Reviews 1
Island Thyme Soap Company,United States,11 months using the app,5,"June 16, 2020","What a great little app!  Easy to install and will definitely make my life easier!  Perfect for newer, small businesses that don't have 100's of reviews yet. This will help you get them!",Google Customer Reviews 1
Chahat Accessories,India,11 months using the app,5,"September 27, 2021","I really liked the service. It helps you show authentic reviews to your clients. The services are very professional and people behind it very friendly,",Google Customer Reviews 1
goonsandqueensheerenveen,Netherlands,11 months using the app,5,"June 6, 2023",Love it! Great customer care. Very fast reply and hp. Recomend it to everybody! We use it in one shop but we will use it also in others.,Google Customer Reviews 1
Blu Butterfly,United States,10 months using the app,5,"June 15, 2020",The Google Badge looks great on the website. Chandra is a rockstar and helped me get everything just right. Great app and even better customer service support.  Hoping to make some sales now!!,Google Customer Reviews 1
Hobbymate Hobby,China,10 months using the app,5,"February 20, 2020","I installed this app to collect google customers review, it works fine, and easy to configure, customer support is really awesome, help me all the way.",Google Customer Reviews 1
MRCOOL DIRECT,United States,10 months using the app,5,"August 14, 2023","Chandra Mohan is Great! Sent her a question & an issue, and it was answered and resolved! Great customer service!",Google Customer Reviews 1
Treacle George,United Kingdom,9 months using the app,5,"Edited May 21, 2020","Best $20 dollars I've spent in a while: quick, easy and Chandra was super super helpful.  Go for it.",Google Customer Reviews 1
Custom Wheel Builder,United States,8 months using the app,5,"Edited January 14, 2021",Chandra answered all my questions and helped me get everything set up. Works exactly as advertised. The display badge looks great.,Google Customer Reviews 1
LythiumArt,Chile,8 months using the app,5,"Edited December 3, 2020","I'm very happy with the app! Chandra offered me a lot of help because I don't know anything about configurations but he kindly took care of guiding me and verifying that everything worked correctly. Before installing the app, take into account that you must have a previous account and ID in Google Merchant Center and your store must be verified with them. Thank you very much for the help and kindness.",Google Customer Reviews 1
BioTech Life Sciences,United Kingdom,8 months using the app,5,"January 6, 2021",Great customer service and even helped with testing our website! Chandra was super-helpful and fast in responding.,Google Customer Reviews 1
"Look-Fly.ca is the protected trademark subsidiary of Entrepreneur Romain Inc. 🇨🇦REGISTERED COMPANY,  All Rights Reserved.",Canada,7 months using the app,5,"April 23, 2020","Really good customer service from A to Z the app is nicely design and it work 
 like it supposed i dont understand the bad reviews keep up the good work.",Google Customer Reviews 1
Reid's Boutique,United States,7 months using the app,5,"March 6, 2023",Thank you Chandra Mohan for all of your help i like everything about this app it's easy to install and easy to navigate. Now it's time to collect some reviews,Google Customer Reviews 1
Shine Decor,China,7 months using the app,5,"Edited April 8, 2021","Chandra is really helpful and patient to answer my question and give me detailed guidance. As for the APP, we are starting, will update the review after using it.",Google Customer Reviews 1
GolsemClothing,United Kingdom,6 months using the app,5,"September 2, 2020",The customer service team is fantastic! They help me install the app and provided me with tips and guidance on how to get the mist from the app. I was initially concerned as I did not understand how the app fully worked but Chandra was very helpful and explained everything to me. Thank you for all your help.,Google Customer Reviews 1
Fearless Outfitters,United States,6 months using the app,5,"August 7, 2023",App does what it claims.  Support was helpful (I'm not very savvy with this stuff) and the price was right.  I wouldn't hesitate to recommend.,Google Customer Reviews 1
Magic & Smiles,United States,6 months using the app,5,"May 23, 2023","I was so happy when I found this app, and I no longer have to pay a monthly fee to have my Google ratings on my store. It was so easy to configure, and the support has been awesome. I highly recommend this app to anyone wishing to put their Google ratings on their store.",Google Customer Reviews 1
Mycology Now,United States,6 months using the app,5,"April 24, 2020","Chandra has provided exemplary service and has stayed in constant contact. The customer service provided here is top notch. If you have an issue with their app, they will knowledgeably assist you. If you need step by step instructions; this is the app for you. Great choice!",Google Customer Reviews 1
noord®,Austria,6 months using the app,5,"Edited April 29, 2021",Great app which works great for my shop. Perfect support to get the app up and running. Recommended from my side. Keep up the good work!,Google Customer Reviews 1
CFDFpromo.com,Canada,5 months using the app,5,"July 4, 2023","They provided and excellent customer service and dev support! 
Great price vs quality. Totally worth it!",Google Customer Reviews 1
pjyrity,Germany,5 months using the app,5,"August 24, 2021","Great app with awesome support. really like it, we use it since couple of months already, takes out lots of pain with Google...",Google Customer Reviews 1
Whole and Nourished Meal Delivery,United States,5 months using the app,5,"August 6, 2023","This app works exactly as intended. I had trouble adding it to my homepage, and Chandra not only added it for me but modified the colors to match my website. It is a welcome change to pay once for an app versus a monthly charge. I highly recommend!",Google Customer Reviews 1
GEMIURO,China,4 months using the app,5,"October 27, 2020","very good,very good service,i like this app,customer service satisfaction.I tried many other apps before using the app, but the results were not good.",Google Customer Reviews 1
Victory Camera,United States,4 months using the app,5,"January 27, 2022",Works well. I had some trouble setting it up and support solved it for me.__________________________,Google Customer Reviews 1
Cuisine & Pâtisserie,France,4 months using the app,5,"May 29, 2020","Hi, 
Could you please give a clear answer ? Does this application allow the customer to leave a review on Google ? This is this only reason I bought it, but I don't know if it's the case or not. I bought it because I wanted to avoid touching the liquid code with the provided extract code of google to get it. 
Awaiting an answer. 
Thanks for your support.",Google Customer Reviews 1
Hairvyo,United States,4 months using the app,5,"December 9, 2020",The app is simple to use and the support is great. Chandra did a test order to make sure everything is working properly. I definitely recommend this app for anyone looking to have Google reviews on their site.,Google Customer Reviews 1
Youthphoria,Australia,3 months using the app,5,"June 3, 2020",Fantastic app and help from Chandra. Helped me install the app in a quick and timely manner. I can see how this app will benefit my business drastically with google ads and buyer conversion,Google Customer Reviews 1
Srirachawear,United States,3 months using the app,5,"October 27, 2020",Great customer service!!! I was able to quickly go back and forth via email to answer questions I had. Fast and thorough responses. I highly recommend.,Google Customer Reviews 1
Makana Hut,United States,3 months using the app,5,"July 21, 2020",Great APP and looking forward to getting Google Reviews. Also the support was top notch. Needed some help and the reply time was quick and up and running in no time.,Google Customer Reviews 1
Vezorla,Canada,3 months using the app,5,"Edited May 24, 2021","So far so good, the app works, I don't have to request reviews and it looks pretty good in my website. Chendra provide a pretty good customer service, super fast and efficient. Keep up the excellent customer service!",Google Customer Reviews 1
محل الشيخ,Libya,3 months using the app,5,"June 24, 2023","A clear and organized app, in addition excellent support, and the wonderful thing about this program is the one-time fee",Google Customer Reviews 1
Ruck & Rotor,United States,2 months using the app,5,"Edited March 8, 2021",This app was not initially working on my store. I posted a critical review and was promptly contacted by support. The customer service rep needed some access permissions to my store so he could fix it. He promptly fixed it. I am updating my review to a positive one. This app seems like a convenient way to get Google customer reviews on your store. The only catch is that the customer has to opt-in to receive an email at time of purchase. There doesn't seem to be a way for a customer to decide to come back and leave a review if they don't opt in right away. I think this would be a great feature to add because it would allow the store owner to send a follow up email to the customer and request a review after the customer has received their order.,Google Customer Reviews 1
EV Plug Europa,Netherlands,2 months using the app,5,"November 16, 2020",Can recommend this app to anyone. Support is also perfect. Chandra and his team offer the best service!,Google Customer Reviews 1
The Kettle Gourmet,Singapore,About 2 months using the app,5,"August 17, 2020",Amazing sales support service by their staff as I'm not tech trained. Highly recommended for your website.,Google Customer Reviews 1
NUTRILOVERS | #WissenWasDrinIst,Germany,Almost 4 years using the app,1,"Edited May 9, 2022","UPDATE - Since March 2022 THE APP DOESNT WORK ANYMORE. All collected Google Reviews are GONE. Customer Support doesn't reply anymore. Great Customer Service. Installation and Customisation is very easy.
What I still miss is the customisation to translate the badge text but this is scheduled to be implemented by end Jan 2020. So now I hope customers will use the Google Customer Survey, so we have some reviews to show soon. :-) One comment regarding this 1 star review I saw:
The app is not for Google ads, so the reviewer seems he didn't read the what the App is for. GREAT SERVICE - The customer service was very helpful and helped us to find a issue we had (caused by us, because we tried to install the Google code ourselves before and had not removed it. Chandra from Meggnotec was able to find that code issue and help us to remove it. PRICING - What I really like is that this is a one time fee. I would not go for anything else. Very honest & fair!",Google Customer Reviews 1
Kopfnote,Austria,About 1 month using the app,5,"November 2, 2023","The App was quite easy to install with a little help from Chandra at customer support and works as described. Very competitive price compared to other models where you have to pay every month to keep your reviews updated.
Conversion rate even went up already a little i think. Thank's for this nice little tuning of my shop! :-)",Google Customer Reviews 1
tente-de-toit.Shop,France,About 1 month using the app,5,"July 3, 2023","Application qui permet de récupérer des avis google facilement, je recommande. 
Suivi et accompagnement pour les différents paramétrage ok .",Google Customer Reviews 1
Gala Wildlife,United Kingdom,About 1 month using the app,5,"Edited February 19, 2020","Having recently added the app I have started to receive reviews, which goes some way to adding credibility to my website from genuine customers. The layout is clean and functional. I think the one-time payment is very good value and much prefered to a subscription. I had a little misunderstanding about the functionality of the app, so messaged the app developer - who responded very quickly and answered my query! So, overall, a super little app that'll benefit most (if not all) websites.
 Definitely recommended.",Google Customer Reviews 1
Alluxe Car Mats,Australia,25 days using the app,5,"May 3, 2023","Great service, one-time charge with high cost efficiency. Very helpful customer service. Highly recommend",Google Customer Reviews 1
Spare and Square,United Kingdom,24 days using the app,5,"February 23, 2021","Works prefectly, easy to set up and great support if needed. Nice touch to be able to add badge with minimal reviews to. Thanks! spareandsquare.co.uk",Google Customer Reviews 1
Outdoor eStore Australia,Australia,20 days using the app,5,"March 18, 2021","App worked as described, perfect for a new store with no sales, customers or reviews. Great support, did some custom CSS to answer a request very quickly. Would be great to have a Klavyio integration. Loving the app so far.",Google Customer Reviews 1
Body and Face Clinic,Netherlands,20 days using the app,5,"June 15, 2023","Exceptional App with Unbeatable Value and Service
I am absolutely impressed with this app! Not only does it deliver excellent performance, but it does so at an incredibly reasonable and one-time cost. The value it provides is truly unbeatable.
Moreover, the customer service is top-notch. Upon contacting the support team via email, I received swift and effective responses. The level of service they provide is exemplary and has made my experience with the app even better.
I highly recommend this app to anyone seeking a reliable and cost-effective solution. The outstanding performance combined with the excellent customer service is a testament to the quality of this product. Try it out - you won't be disappointed!",Google Customer Reviews 1
Great Alternative Stores Ltd,United Kingdom,18 days using the app,5,"November 29, 2021",This did exactly what it said 'on the tin' and has enhanced our site by providing reliable and not obtrusive review facility. The 'hand hold' was significant and allowed the app to be integrated with the minimum of fuss by our 'minimally' experienced technical team.,Google Customer Reviews 1
Marianne Style,Canada,18 days using the app,5,"March 9, 2021",Very happy that I chose this app as the installation was easy enough and when I needed support Chandra promptly took care of everything and followed up after. Highly recommended.,Google Customer Reviews 1
I Choose Safety,Portugal,15 days using the app,5,"July 11, 2023","Excellent support! Although this app is a one-time subscription, the support team responds promptly, providing explanations that help get the app working correctly. :)",Google Customer Reviews 1
Kinesi Living,Australia,15 days using the app,5,"Edited December 22, 2021",The customer service from Chandra was very helpful as I am not super tech savvy :) Looking forward to seeing some good reviews. I’m not sure whether the app is helpful yet as it is still early days.,Google Customer Reviews 1
Satyam Farm,United States,14 days using the app,5,"September 13, 2023",Fantastic little widget for getting Google reviews on your site. Love the one time charge model as against the monthly subscription. Chandra was kind to some quick modifications and was very prompt. Highly recommend.,Google Customer Reviews 1
O'Here!,Singapore,14 days using the app,5,"May 7, 2023",Great app! Good opportunity to try out the app as it is a one-time payment now. Chandra offered prompt and detailed support for every questions asked.,Google Customer Reviews 1
Fina Tavola,United States,13 days using the app,5,"December 3, 2021",really easy to install and very helpful in creating trustability in website. Customer service was quick to respond and very helpful!,Google Customer Reviews 1
Iron & Resin Australia,Australia,12 days using the app,5,"January 23, 2020","upon install i had a coding issue when trying to configure my Our Google Customer Reviews, Chandra sorted it out with one email and we are now configured and ready to go.
App does everything is says it does.
thanks Luke",Google Customer Reviews 1
GeekStands.com,United States,12 days using the app,5,"October 25, 2023","What a great App, love that it is a fixed cost. Chandra even installed the custom widget in our store at no cost!. Works really well as a sticky widget ! A++++ thanks so much Chandra!",Google Customer Reviews 1
Fair Dinkum Gifts,Australia,12 days using the app,5,"July 6, 2021",I rate the support team 5 stars - I wasnt sure how to set it up on my store and they did everything for me,Google Customer Reviews 1
Rainbow OPTX™,United States,10 days using the app,5,"October 13, 2023","I was looking for the easiest way to start collecting Google reviews and this app did exactly that. It was very easy to install and set up. I emailed support just to confirm we had it set up correctly and the owner wrote back very quickly, placed a test order himself, and confirmed everything was working correctly.",Google Customer Reviews 1
Alara,United States,9 days using the app,5,"September 10, 2023","Simply couldn't be more useful or easy to install. I had a question that was answered personally, promptly, and professionally by the developer. On top of everything else--a GREAT DEAL! 
You can promote your reviews as subtly or grandly as you like--and customers definitely DO notice.",Google Customer Reviews 1
WICK WORX NZ,New Zealand,8 days using the app,5,"July 20, 2023","As a website owner, I have always strived to provide a seamless and trustworthy experience for my visitors. That's why I decided to incorporate the Google Reviews App by Chandra Mohan into my Shopify store. And boy, am I impressed!
This app is an absolute gem! It does exactly what it promises, effortlessly integrating Google Reviews into my website. Setting it up was a breeze, thanks to the clear and user-friendly interface. Even as someone who isn't particularly tech-savvy, I found the installation process to be smooth sailing.
I also appreciated the customization options provided by the app, allowing me to tailor the appearance of the reviews to match my website's aesthetics seamlessly. The responsive design ensures that the reviews look great on all devices, providing a consistent experience for my visitors.
Moreover, Chandra Mohan provides excellent customer support. He is quick to respond to my inquiries and offers valuable assistance whenever I need it.
In conclusion, I can wholeheartedly recommend the Google Reviews App by Chandra Mohan to any Shopify store owner looking to enhance their website's credibility and overall user experience. It's a fantastic investment that delivers real results. Kudos to the developer for creating such a valuable and user-friendly app!",Google Customer Reviews 1
Nourish & Nosh,Portugal,8 days using the app,5,"May 31, 2023",Love that this app is a one time charge - really helps our small business. We had a tiny technical error but Chandra gladly helped us out and the response was very quick.,Google Customer Reviews 1
Manchester Factory,Australia,7 days using the app,5,"Edited March 3, 2023","App has been working fine from what I can tell. Out of the box, it displayed the google review badge which was something we struggled with getting to show previously.",Google Customer Reviews 1
