Store,Location,Span,Rate,Time,Review,Application Name
Colipo,Portugal,Over 3 years using the app,5,"March 25, 2021",Good App!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Social Testimonial Slider
Writing Workshops,United States,Over 3 years using the app,5,"July 30, 2021",We have been collecting Google reviews for a while and I needed an app that seamlessly integrated them into our website. This has worked great for us. Highly recommend.,Social Testimonial Slider
LYNQ,Canada,Over 3 years using the app,5,"February 7, 2020",Love how user-friendly this app is. Such a great way to showcase our brand's fan-mail and how it displays!,Social Testimonial Slider
be green - be better,Germany,Over 3 years using the app,5,"November 25, 2020","Great app! Very easily customizable. We wanted to differentiate the look for mobile and PC view. No problem, already described in the app's knowledge base! Cool! :-)",Social Testimonial Slider
Uptown Bicycles,United States,Over 3 years using the app,5,"February 10, 2020","Easy to use, and super helpful! There are a lot of design options, which allows it to integrate nicely",Social Testimonial Slider
Alpine Rings,United States,About 3 years using the app,5,"February 19, 2021","This app was very easy to use and it looks phenomenal on our site. I like that you have so many customization options and the ability to hide those reviews that may be unflattering. We had an issue with one of the settings initially, and Josh from their team was friendly and provided great support via email. We forgot to check one of the boxes in the template settings, so it wasn't anything on their end, and they graciously declined to make fun of us which was appreciated ;)!",Social Testimonial Slider
Origin Colombia,Canada,About 3 years using the app,5,"January 11, 2022","Love this app! Easy instructions to import reviews from Facebook and Google and the testimonial slider works great for our homepage. If you're looking for a review app, this is the choice!",Social Testimonial Slider
XOL Design,United States,About 3 years using the app,5,"November 18, 2019","Installed this app several months ago.  Importing FB reviews was a breeze, struggled a bit with the Google reviews because my place ID isn't associated with a physical location (online only store).  Today I finally got around to fixing it.  This app has a forum and the instructions on how to overcome this were well written, easy to follow, and solved the issue in about 7 seconds.  Now my new reviews are showing up on my store! Woo!  Great app, definitely check it out if you are on the fence.",Social Testimonial Slider
Queenie's Pawprints,Australia,Almost 3 years using the app,5,"Edited July 19, 2020","Had some problems with getting a code at the beginning - not a Mac friendly, apparently, but once that was sorted, everything else works smoothly. Great app!",Social Testimonial Slider
100CARATI,Italy,Almost 3 years using the app,5,"December 16, 2019",ottima app funziona bene e fa il suo lavoro download veloce  e automatico l'app è leggera complimenti molto consigliata,Social Testimonial Slider
A Fly Went By,United Kingdom,Over 2 years using the app,5,"November 14, 2020","This is fantastic app, really easy to understand and manage. I would highly recommend it! Thanks so much!",Social Testimonial Slider
PlantsRUsTO,Canada,Over 2 years using the app,5,"February 26, 2020",Pretty easy to use and maintain. I recommend it. I can change the display style on the fly and make it work better on mobile.,Social Testimonial Slider
Chicago Pawners & Jewelers,United States,Over 2 years using the app,5,"August 3, 2023",Very easy setup and works just as it is advertised. I would definitely recommend this for any website.,Social Testimonial Slider
CamMorgan,United States,Over 2 years using the app,5,"May 25, 2020",This app is very simple & gets the job done! Definitely add it to your store if you want a glitch free app.,Social Testimonial Slider
LuckyCat,South Africa,Over 2 years using the app,5,"January 5, 2020","This app is easy to install. I could add my Facebook reviews to my website. Now visitors can see my recent reviews and feedback from customers. Great experience, I highly recommend this app.",Social Testimonial Slider
Perfect-DBZ,United Kingdom,Over 2 years using the app,5,"October 11, 2021","Great little app. Unlike other review apps, this one work first time without any fuss! Defiantly recommend to new stores.",Social Testimonial Slider
The Vintage Compact Shop,United Kingdom,Over 2 years using the app,5,"Edited September 15, 2020",Great app. It helps to build reassurance. Very visible on the home page and it works perfectly. 5***,Social Testimonial Slider
Aquarists Across Canada,Canada,Over 2 years using the app,5,"August 10, 2022",We installed this app to help build confidence in our customers through a review process. It works very well for us. Thank yo,Social Testimonial Slider
Videogiochi Per Passione,Italy,Over 2 years using the app,5,"February 9, 2021","tutto quello che serve, senza account terzi per dimostrare quello che si è, bastano ormai i canali che conosciamo tutti per ottenere feedback, e loro lio unico nel miglior modo possibile. Ottima APP",Social Testimonial Slider
Cannon Beach Treasure Company,United States,Over 2 years using the app,5,"April 6, 2018","This is an awesome app - you get great service and terrific results for FREE, and if you want to upgrade to the whole kahuna, it's only a couple of bucks a month, and well worth it. Josh is super responsive and even helped me make a custom tweak with speed and ease. Super fast response, but really, it's great straight out of the ""box."" Definitely a huge plus for my shop, which relies heavily on credibility to sell high-dollar items!",Social Testimonial Slider
Sun's Bakes,United Kingdom,About 2 years using the app,5,"June 6, 2020","Only recently installed the app. The review looks great and very easy/ quick to install as well as all instructions were given. Had an issue initially where I could not connect my Shopify to the app, sent an email and got a very speedy response from Josh advising to try again. Tried again - tadaaa! it was all sorted :-D. I upgraded to the paid version as I wanted a bit more customisation but both free and paid app seem to be very good!",Social Testimonial Slider
Merkadinho,United States,About 2 years using the app,5,"July 24, 2020",Great app!!!Very helpful. 5 stars for sure.  This app makes your store web page more reliable using the Facebook reviews.,Social Testimonial Slider
Three Mutts Custom Leather,United States,About 2 years using the app,5,"November 3, 2019","Very easy to use, integrated Facebook page reviews easily and folks have commented on how they like the new look already.",Social Testimonial Slider
Apepak,Italy,About 2 years using the app,5,"Edited December 6, 2019",yeah doing what it promises and works great. Good job guys! Maybe I'd add an option for automatic reviews download but its nice to be able to check on them before posting them,Social Testimonial Slider
Hada Secrets,India,About 2 years using the app,5,"January 8, 2021",Awesome product need full and use full ! fully satisfied . well wishes for your business and product deals .,Social Testimonial Slider
Giselle Richardson,United Kingdom,Almost 2 years using the app,5,"April 7, 2023",Does exactly what it says on the tin and the installation instructions worked without problems.  What else can one ask?,Social Testimonial Slider
daila herbals,Philippines,Almost 2 years using the app,5,"January 28, 2020",This social testimonial slider app is simple to use and easy to set up! I hope I can also add images. But it was really great.,Social Testimonial Slider
FixOEM: Refaccion Celular / Gaming,Mexico,Almost 2 years using the app,5,"April 26, 2022","Hihi ... its just a great, simple and amazing resulting giving app. Collects all reviews from different channels and in a lovely way it lets you customize how to show to clients, which give unparallel social proof!",Social Testimonial Slider
Alaska Bakes,Ireland,Almost 2 years using the app,5,"May 24, 2020","Happy to recommend this app , using it for a while now and we have had no issues with it to date.",Social Testimonial Slider
FairyBells Kart,India,Almost 2 years using the app,5,"April 4, 2019","Awesome App! Worth the Cost!
Easy to use and Fulfill our requirements! The team is also very supportive!",Social Testimonial Slider
Sweet Confessions,Singapore,Almost 2 years using the app,5,"August 4, 2022",Great app! Adds a lot of value to my website when I needed Google reviews for my store. Had a bit hiccup with the server but all is well now.,Social Testimonial Slider
Marbach Leather,Estonia,Almost 2 years using the app,5,"November 16, 2020",I wanted a simple straight forward app to show Facebook reviews on my homepage. This does exactly that plus you can also add reviews or testimonials manually so you can show the ones that are not from facebook.,Social Testimonial Slider
Malìa Lab,Italy,Over 1 year using the app,5,"February 8, 2021","Utilissimo e semplice, è proprio quello di cui avevo bisogno per far visualizzare le recensioni di facebook.",Social Testimonial Slider
TatvaHealth,India,Over 1 year using the app,5,"December 28, 2019",lovely app. no hassle hvhgvjhgcghfcdtdgfdgrstrdhtrdfhtfuygyuujlijljnkjnkjnkjnkjnkjnkjnbkjkjbkjbjbkjbkjbk,Social Testimonial Slider
Sugar Cabin,United Kingdom,Over 1 year using the app,5,"June 26, 2021","Very nice app, works flawlessly. Would recommend. I have been using it for several months and it helps a lot.",Social Testimonial Slider
Diamonds & Gloss Australia,Australia,Over 1 year using the app,5,"Edited February 3, 2020","Excellent, this app is easy to use and set up.  It provides great social proof for my website.  www.diamondsandglossaustralia.com",Social Testimonial Slider
Rusby,Singapore,Over 1 year using the app,5,"October 5, 2017","Social Testimonial is fantastic. I've been looking around for testimonial apps that do not charge an arm and leg. It does the work well, nice layout, customisable display and selection of reviews. Josh is also very helpful in setting this up for me. Hope to see this flourish. Great job!",Social Testimonial Slider
Red Kelpie Relish,Australia,Over 1 year using the app,5,"April 24, 2023",Quick and Easy. Very simple to use and had no problems. I recommend the testimonial app for your needs.,Social Testimonial Slider
Truly Memorable Gifts | For Realtors & Mortgage Brokers,United States,Over 1 year using the app,5,"April 19, 2022",App is very user-friendly. And even the FREE version of it is already great! And Josh is very interactive and helps you on each and every concern that you may have.,Social Testimonial Slider
Sunny Pair'O'Dice,Singapore,Over 1 year using the app,5,"May 18, 2020","This app is simple and easy to use...
the guides are very easy to understand as well...
We recommend this for all Online Store  and check out their functions",Social Testimonial Slider
Gotu.pt,Portugal,Over 1 year using the app,5,"Edited July 16, 2021","It's an amazing little app. It integrates seamlessly, and its not expensive at all. At the time of this review, im upgrading to the paid version.",Social Testimonial Slider
JACQUES HERMES,Greece,Over 1 year using the app,5,"September 22, 2021","Definitely recommend, it works fantastically, even in the free plan!
Awesome support, they worked with us fast and decisively.",Social Testimonial Slider
Danksy Arts & Crafts,United Kingdom,Over 1 year using the app,5,"March 7, 2020",Great App so simple to use.  Having reviews from our Facebook page on our homepage is great and definitely increases buyers confidence in purchasing.  Thank you,Social Testimonial Slider
alohaelixir.com,United States,Over 1 year using the app,5,"September 4, 2020",I love this app because it grabs the reviews from different sources automatically. No other app that I know of can do that.,Social Testimonial Slider
Dare to Dream Prints,United Kingdom,Over 1 year using the app,5,"July 5, 2020","Very happy with this app, well integrated, easy to use and effective. Definitely worth the very low subscription fee",Social Testimonial Slider
Fancy Planet,United Kingdom,Over 1 year using the app,5,"August 7, 2021","Great app. Does exactly what I need, no fuss and easy to set up. And thank you so much for the fair price - $2.99 is an amazing value for money! Don't go for any of these $20-30 review apps out there, this app has everything you need. Thank you.",Social Testimonial Slider
PosterJunkie,Netherlands,Over 1 year using the app,5,"April 3, 2023",Easy to set up and does what it needs to do..........................................................,Social Testimonial Slider
Harbour City Dog Gear,Australia,About 1 year using the app,5,"October 31, 2023","I've been using this app for a while now and I am pleased with it so happy to submit a positive review.
The free version allows for some limited customisation but it's definitely enough for my needs and the slider sits in my site nicely.
Recently uploaded some new reviews to the app and couldn't quite figure out why they weren't showing up on my site ... a quick look through the community support pages and I found the fix - easy and worked straight away.
Can't really ask for more!",Social Testimonial Slider
Ink Store Plus,Australia,About 1 year using the app,5,"Edited April 21, 2021","Simple and easy to install, and manually update. Limited features in free version, but adequate enough for a new website. Visually effective on webpage.",Social Testimonial Slider
Te Rā Sunglasses,New Zealand,About 1 year using the app,5,"September 11, 2020","Great app, recommend! It took a few minutes to understand how it works. The instructions are helpful and clear to understand. For now, I use a free version and it is good!",Social Testimonial Slider
The Attic,United Arab Emirates,About 1 year using the app,5,"August 31, 2020",Great app! Easy to use and install and just what we were looking for. The free plan is genuinely useful and not just a hook.,Social Testimonial Slider
Insa Korean Store,Mexico,About 1 year using the app,5,"March 15, 2022","Esta app funciona excelentemente, no tuve problemas para la instalación, configuración y el uso.
La verdad cumple su cometido.
Espero que pudieran también conectarla pronto con instagram para tener las historias destacadas de todos mis clientes; sería una función fenomenal.",Social Testimonial Slider
MusicStreet,United Kingdom,About 1 year using the app,5,"March 3, 2020",nice easy integration.. looks great on the homepage of our site. I may have missed something but would be even better if it pulled reviews from multiple sources,Social Testimonial Slider
Noa Sharon Designs,Israel,About 1 year using the app,5,"February 27, 2023","Easy to use testimonial slider, I needed it for a specific slider on the front page and it integrated smoothly.",Social Testimonial Slider
Crown Linen Designs,United States,About 1 year using the app,5,"April 21, 2021",Super easy to use and we we had it up on on our site in no time with no problems at all. Easy to use with or without any technical skills,Social Testimonial Slider
Tru Outdoor Luxury,South Africa,About 1 year using the app,5,"Edited May 16, 2021","This app is an absolute must. It added credibility to our store as it enabled us to import all our Google and Facebook reviews which we proudly displayed on our Home page. As soon as visitors viewed these independent reviews, it immediately brought comfort to these potential buyers that they are dealing with a credible store. Service from the developer has also been excellent...prompt replies with solutions provided. Thank you Social Testimonial Slider",Social Testimonial Slider
Oukside,Italy,About 1 year using the app,5,"October 26, 2022","HUGE quality app! Don't stop at the first appearance, the lean design leaves room for MUCH more important things: simplicity of implementation, ready in one click, and hassle-free integration with review platforms (Facebook, Google ...). I tried 4-5 other apps (the most popular and rated) for the same features, and there is no comparison: Social Testimonial Slider wins hands down. While the others allow few features (you have to pay for others) and it takes time and headaches to understand how to make them work, Social Testimonial Slider is complete and at the same time simple to install and make it works, at a lower price than its competitors!",Social Testimonial Slider
Jild,Pakistan,About 1 year using the app,5,"October 24, 2020",Really simple and easy to use. Gives the right amount of custom settings to achieve the intended purposes. Love using it for 6 months now,Social Testimonial Slider
ROLLAWAY ROLLERS,New Zealand,About 1 year using the app,5,"Edited September 14, 2020","This app has been great! Love how easy it is to use and simple to read the reviews on website, thank you.",Social Testimonial Slider
Camera Wholesalers,United States,About 1 year using the app,5,"March 8, 2020",Fantastic app. Works like it should and the free plan is also great. Definitely recommended.........,Social Testimonial Slider
Belita.store,Cyprus,About 1 year using the app,5,"January 16, 2020","Good app, have a free plan and very responsive support. Love it and recommend it to others for social proof.",Social Testimonial Slider
Silk Barbers,Australia,About 1 year using the app,5,"January 20, 2020","So good! Love this app. Makes a big difference! Very easy to use, and nice appearance on our website.",Social Testimonial Slider
Sip & Say,United States,About 1 year using the app,5,"April 6, 2021","Great app, we have used this for the past year. It really helps get new customers, but showcasing out perfect reviews of happy customers.",Social Testimonial Slider
Sparklet,United Kingdom,12 months using the app,5,"Edited December 11, 2020","Great app for my website have signed up for paid plan, quick response when needed help, would not hesitate to recommend.",Social Testimonial Slider
Eastman Plumbing,Canada,12 months using the app,5,"August 10, 2021",Love this app! It helped us make our testimonials more visually interesting than what's otherwise offered on our theme.,Social Testimonial Slider
Sweet Merch and More,Canada,12 months using the app,5,"May 1, 2021",This app is amazing for showcasing reviews from your socials. Extremely simple and beneficial. Big up to Testimonial Slider!,Social Testimonial Slider
breast dressed,United Kingdom,11 months using the app,5,"February 7, 2021",great app! really easy to use. I was able to add my reviews on to my homepage and really pleased with how they look!,Social Testimonial Slider
Loved and Beyond,Canada,11 months using the app,5,"July 22, 2020","Really easy to use the app, provides great social proof to boost sales and confidence in our products. Highly recommend.",Social Testimonial Slider
Your CBD Store,United States,11 months using the app,5,"Edited November 23, 2019",GREAT APP I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it  I love it,Social Testimonial Slider
Inspire Hardware,United States,11 months using the app,5,"July 17, 2020","Really easy to use app, provides great social proof to boost sales and confidence in our products. Also very responsive technical support. Highly recommend.",Social Testimonial Slider
Artful Diversions,United States,10 months using the app,5,"June 16, 2022","Great app, provides a professional look on my site. I am using the basic version now but about to go pro.",Social Testimonial Slider
Karmin Design MX,Mexico,10 months using the app,5,"August 22, 2020","The app is working really good and is easy to install. It could have some more options for the visual edit. However, we are using the free version until now and are looking forward what the full package includes. Really nice app. We recommend",Social Testimonial Slider
www.chubears.com,India,10 months using the app,5,"July 14, 2023","Very easy to use, edit. I love it. I usually stumble with new apps, but testimonial Hub is very user friendly",Social Testimonial Slider
My Stencil Lady,Australia,10 months using the app,5,"Edited December 14, 2020",Great App guys! It is easy to set up and use. Have set it up on my homepage for easy viewing. Really supports my product!,Social Testimonial Slider
Crystals Rock Australia,Australia,10 months using the app,5,"December 4, 2021","This app is perfect for our business, we didn't want an app that added reviews against individual products. We needed to be able to easily import onto our website existing reviews on our Facebook and Google pages so new customers could see what others were saying. It was so easy to use and Josh is super helpful!",Social Testimonial Slider
AlchePharma,United States,10 months using the app,5,"July 8, 2020","Extremely easy to set up through the theme modules. In addition to having a free option, a great value that adds wonderful personalization and social trust to any e-commerce site. Ralph Turchiano CEO AlchePharma",Social Testimonial Slider
Jeneba Barrie,United States,9 months using the app,5,"September 1, 2020",Easy to Use. Love this app! Easy to upload reviews from any platform or manually add reviews from customers.,Social Testimonial Slider
afterimage.canvas,South Africa,9 months using the app,5,"August 13, 2019",I set this up on my store within 10 minutes - really simple and easy to use. It shows my Facebook reviews on my front page - looks wonderful - I'm really glad I installed it and looking forward to getting more reviews!,Social Testimonial Slider
Untamed Warrior,United States,9 months using the app,5,"February 14, 2020",This app does exactly what it said it would do and what I needed it to do. I wanted to add a clean looking testimonials section to my store and this one rocks!,Social Testimonial Slider
Standard Telecom,Canada,8 months using the app,5,"January 22, 2020",Social Testimonial Slider works great! It was easy to set up and use. I recommend it. We used it for a testimonial slider on our home page and a testimonials page.,Social Testimonial Slider
BeeWigs,China,8 months using the app,5,"May 4, 2021","excellent app, thanks soooooooooooo much, it's very easy to use, nice design! 5 stars love the app !!!",Social Testimonial Slider
Canadian Sugar Gliders,Canada,8 months using the app,5,"April 4, 2020",Fabulous App that has made a huge difference for bringing my many Facebook Reviews into my store for customers to see.,Social Testimonial Slider
Fallout Music Group,United States,8 months using the app,5,"January 5, 2021","Great app for showing testimonials in a simple, clean way on the website. Love it! I was looking for a way to have scrollable reviews, and this was perfect!",Social Testimonial Slider
Metaflorist,Canada,8 months using the app,5,"September 5, 2022","It works as it should. Plenty of settings, a convenient interface, free plan is available. Good app overall.",Social Testimonial Slider
RoomieTEC,Hong Kong SAR,8 months using the app,5,"Edited November 21, 2019","Just downloaded this app and it's worked very well so far. Visually appealing, easy to use and install.",Social Testimonial Slider
Rsvp Prom and Pageant,United States,7 months using the app,5,"September 10, 2018","This app was exactly what we were looking for! I was so excited about it, I didn't wait for the free trial to expire to upgrade. It was easy to install and Josh was quick to respond to some small customizations with CSS code! I really appreciated his willingness to help so quickly!",Social Testimonial Slider
Craft'd Foods,United Kingdom,7 months using the app,5,"October 26, 2021",This app works really nicely to provide customers the chance to see user generated content around your business. Support is exceptional and Josh responds quickly to questions and queries with support for custom CSS within the app. A great addition to my shopify store and the cheapest paid option out there.,Social Testimonial Slider
Creatures of Comfort,Australia,7 months using the app,5,"November 29, 2020",This app was great to get my Google and Facebook reviews up onto my website. It is clean and looks really professional. Would highly recommend it.,Social Testimonial Slider
Trippy Hippie Company,United States,7 months using the app,5,"August 2, 2022","Best Testimonial slider out there. Easily add Facebook reviews to your website, user friendly..Tried and true.",Social Testimonial Slider
SOVATS,Thailand,7 months using the app,5,"April 24, 2021","Great app, to showcase perfect reviews of happy customers. Easy to install. I can recommend it to anyone.",Social Testimonial Slider
Guitars On Main,United States,7 months using the app,5,"Edited February 19, 2019","Excellent app, I like that I can manually add reviews from other sales channels.    Opt for the paid version, it's very affordable and the extra features make it worth it.",Social Testimonial Slider
koalitymart,Philippines,6 months using the app,5,"September 29, 2020",Simple and easy to use. Works perfectly and we are thinking of getting the paid version so reviews posted on social media will be retrieved automatically.,Social Testimonial Slider
Heritage Co.,United States,6 months using the app,5,"September 6, 2021","Very simple and easy to install, looks great on our website! Once we posted them we noticed more customers leaving reviews as well, which is a great thing!",Social Testimonial Slider
Wellness4lyfe,United States,6 months using the app,5,"May 11, 2023","So far, this app has been great.",Social Testimonial Slider
HijabPlanet,Singapore,6 months using the app,5,"April 23, 2020",This app is so easy to use and it looks great on my website www.hijabplanet.com Worth the cost for its functionality. Highly recommended.,Social Testimonial Slider
Caidra,Singapore,5 months using the app,5,"June 4, 2023",Very easy set up with a clear instruction page that even highly paid apps dont do. Currently on the free version and even that is so awesome! Highly reccomend.,Social Testimonial Slider
Touch of Inspiration,United Kingdom,5 months using the app,5,"July 23, 2020","Very good app, sits perfectly on store homepage and looks good. Very happy with how easily it was to set up initially. Definitely recommend.",Social Testimonial Slider
Intrinsic Trading,United States,5 months using the app,5,"December 12, 2019","Works well, just what we needed for the store! An automatic review download feature would be nice but this works fine.",Social Testimonial Slider
Lively Imagery,Brazil,4 months using the app,5,"February 19, 2021",Wonderful app. It is easy to use and beautifully clean. Great style. Exactly what we were looking for.,Social Testimonial Slider
Oh! So POP,Poland,4 months using the app,5,"November 30, 2020","Definitely a great addition to my Shopify shop (and it's usually really hard for me to find an app that I like). Looks neat even on the free plan and is really easy to set up. I wish it could source the reviews from the store too, but Facebook works perfectly fine. Great work!",Social Testimonial Slider
Sea La Luz CR,Costa Rica,4 months using the app,5,"October 29, 2020",5 Estrellas aunque a veces no me carga las fotografias de perfil... Espero pronto se solucione el inconveniente,Social Testimonial Slider
Saturnial,Canada,3 months using the app,5,"February 3, 2020",This application is extremely easy to use and comes with some neat features as well. The main reason I've given this app a 5 star review however is the AMAZING customer service you get! I had a few questions here and there and they had answers to every question I asked (plus their responses were super quick too)! I recommend this product to anyone who needs a testimonial slider on their page!,Social Testimonial Slider
Polair,United States,3 months using the app,5,"March 12, 2023","A very Simple and easy to use testimonial app, had everything set up within minutes and the template design looks great.",Social Testimonial Slider
Jesusgiftstore,United States,3 months using the app,5,"Edited December 14, 2017",This is an EXCELLENT App and I LOVE it! This App allows me to showcase my store's testimonials from my social media pages. This App is affordable and worth every penny! I highly recommend this App. Here is my store's website if you would like to check out this GREAT App and how it looks www.JesusGiftStore.com  The Testimonial Slider App is located on my HOME page.,Social Testimonial Slider
GeekLoveph,Philippines,3 months using the app,5,"July 31, 2020","Cool app. easy to use. definitely worth the time to install on any store. Thanks, Josh. 10 stars :) :) :)",Social Testimonial Slider
The Costume Room,Ireland,2 months using the app,5,"September 26, 2022","Social Testimonial Slider is a really great app and easy to use, so easy to Import and display on any page of your site",Social Testimonial Slider
iqonic design,Canada,2 months using the app,5,"May 13, 2023",Great app with great pricing. Easy integrated into my store. Very glad that I chose it for my business.,Social Testimonial Slider
Universal Hose and Fittings,United States,2 months using the app,5,"December 7, 2020",Gets the point across. Easy to use. We needed something simple to showcase our testimonials with out being over the top.,Social Testimonial Slider
PooPick,Germany,2 months using the app,5,"October 5, 2020",Outstanding good customer service. Fast response and quality driven answer! The team took time to answer individually and concerning to my specific problem. Thanks!,Social Testimonial Slider
prabhumanfoods,India,2 months using the app,5,"October 24, 2023","After trying a few testimonials apps which did not help my purpose, I am glad that I found Testimonial Hub!!! You guys rock!!",Social Testimonial Slider
HandcraftedSupply,Türkiye,2 months using the app,5,"August 2, 2020","The app is working really good and is easy to install. It could have some more options for the visual edit. However, we are using the free version until now and are looking forward what the full package includes. Really nice app. We recommend",Social Testimonial Slider
American Instrument Exchange,United States,About 2 months using the app,5,"June 20, 2022","The Social Testimonial Slider is easy to use, does what it says, and works reliably. What else could you ask for?",Social Testimonial Slider
PECOPRODUCTS,United States,About 2 months using the app,5,"August 14, 2022","Great app! I looked high and low for an easy app to be able t show reviews on my website, and this one works perfect for a very reasonable price.",Social Testimonial Slider
t3rks Products & Services,Philippines,About 2 months using the app,5,"May 20, 2020","This app really helps a lot in boosting my website, since some of our customers are always asking if we are a legit seller.",Social Testimonial Slider
